,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Lubmin - Altentreptow/Nord 475,11TD8L475------O,50HERTZ,Lubmin,Altentreptow/Nord,400,,,,,,,2520,,,1.42,13.75,219.57,52.12,
Lubmin - Altentreptow/Sued 476,11T0-0000-0007-7,50HERTZ,Lubmin,Altentreptow/Sued,400,,,,,,,2520,,,1.62,17.83,290.28,68.80,
Altentreptow/Nord - Altentreptow/Sued 477,11T0-0000-0008-4,50HERTZ,Altentreptow/Nord,Altentreptow/Sued,400,,,,,,,2520,,,0.40,4.34,70.78,16.77,
Altentreptow/Sued - Gransee 479,11TD8L479------T,50HERTZ,Altentreptow/Sued,Gransee,400,,,,,,,2520,,,1.81,19.94,325.25,77.01,
Stendal/West - Wolmirstedt 487,11T0-0000-0979-2,50HERTZ,Stendal/West,Wolmirstedt,400,,,,,,,3600,,,0.58,9.29,172.47,37.25,
Stendal/West - Wolmirstedt 488,11T0-0000-0980-P,50HERTZ,Stendal/West,Wolmirstedt,400,,,,,,,3600,,,0.58,9.29,172.47,37.25,
Stendal/West - Wolmirstedt 489,11TD8L489------K,50HERTZ,Stendal/West,Wolmirstedt,400,,,,,,,2520,,,1.18,9.63,160.82,37.25,
Stendal/West - Wolmirstedt 490,11TD8L490------9,50HERTZ,Stendal/West,Wolmirstedt,400,,,,,,,2520,,,1.18,9.63,160.82,37.25,
Wolmirstedt - Teufelsbruch 493,11TD8L493------M,50HERTZ,Wolmirstedt,Teufelsbruch,400,,,,,,,2400,,,3.67,33.20,518.68,124.40,
Wolmirstedt - Wustermark 494,11TD8L494------E,50HERTZ,Wolmirstedt,Wustermark,400,,,,,,,2500,,,3.18,27.94,434.42,104.10,
Neuenhagen - Marzahn 495,11TD8L495------6,50HERTZ,Neuenhagen,Marzahn,400,,,,,,,2280,,,0.76,4.31,71.94,16.94,
Neuenhagen - Marzahn 496,11TD8L496------Z,50HERTZ,Neuenhagen,Marzahn,400,,,,,,,2400,,,0.76,4.31,71.94,16.94,
Wustermark - Teufelsbruch 498,11TD8L498------J,50HERTZ,Wustermark,Teufelsbruch,400,,,,,,,2400,,,0.72,7.74,129.81,29.60,
