,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
St. Peter - Schaerding 236,14T-220-0-00236R,APG,St. Peter,Schaerding,220,,,,,,,800.00,,,3.12,14.40,107.07,36.60,
St. Peter - Salzburg Elixhausen 455,14T-220-0-00455F,APG,St. Peter,Salzburg Elixhausen,380,,,,,,,2400.00,,,0.64,11.72,203.42,45.50,
St. Peter - Salzburg Elixhausen 456,14T-220-0-00456D,APG,St. Peter,Salzburg Elixhausen,380,,,,,,,2400.00,,,0.64,11.72,203.42,45.50,
Suedburgenland - Dreibein Mellach 476SU,14T-380-0-0476MG,APG,Suedburgenland,Dreibein Mellach,380,,,,,,,2400.00,,,1.41,23.73,411.23,61.60,
Suedburgenland - Wien Suedost 478,14T-381-0-00478Q,APG,Suedburgenland,Wien Suedost,380,,,,,,,2400.00,,,1.63,27.76,480.35,107.80,
Tauern - Zell am Ziller 418,14T-380-0-00418H,APG,Tauern,Zell am Ziller,380,,,,,,,2400.00,,,0.79,20.67,267.00,69.10,
Tauern - Weissenbach 221,14T-220-0-002213,APG,Tauern,Weissenbach,220,,,,,,,800.00,,,10.42,51.20,347.46,123.60,
Tauern - Weissenbach 222,14T-220-0-002221,APG,Tauern,Weissenbach,220,,,,,,,800.00,,,10.42,51.20,347.46,123.60,
Ternitz - Wien Suedost 225B,14T-220-0-0225B1,APG,Ternitz,Wien Suedost,220,,,,,,,960.00,,,5.08,24.59,166.07,59.50,
Ternitz - Wien Suedost 226B,14T-220-0-0226BZ,APG,Ternitz,Wien Suedost,220,,,,,,,960.00,,,5.08,24.59,166.07,59.50,
Wallsee - Ybbsfeld 205B,14T-220-0-0205B9,APG,Wallsee,Ybbsfeld,220,,,,,,,810.00,,,2.33,12.26,83.35,29.70,
Westtirol - Zell am Ziller 275,14T-220-0-00275H,APG,Westtirol,Zell am Ziller,220,,,,,,,2100.00,,,2.66,30.80,402.12,103.50,
Westtirol - Zell am Ziller 276,14T-220-0-00276F,APG,Westtirol,Zell am Ziller,220,,,,,,,2100.00,,,2.66,30.80,402.12,103.50,
Bezdecin - Chotejovice,27T-TLI-V210---F,CEPS,Bezdecin,Chotejovice,220,,,,,,,656.00,,,6.46,38.10,243.00,97.90,
Bezdecin - Babylon,27T-TLI-V451---9,CEPS,Bezdecin,Babylon,380,,,,,,,,2235.00,2400.00,1.28,16.02,217.00,53.60,
Bezdecin - Neznasov,27T-TLI-V452---4,CEPS,Bezdecin,Neznasov,380,,,,,,,,2265.00,2400.00,1.58,20.53,260.00,68.30,
C. Stred - Bezdecin,27T-TLI-V209---D,CEPS,C. Stred,Bezdecin,220,,,,,,,755.00,,,4.82,28.69,190.00,68.40,
C. Stred - Tynec,27T-TLI-V400---7,CEPS,C. Stred,Tynec,380,,,,,,,,2100.00,2400.00,1.42,14.06,180.00,46.20,
C. Stred - Bezdecin,27T-TLI-V454---V,CEPS,C. Stred,Bezdecin,380,,,,,,,,2265.00,2400.00,1.55,18.24,291.00,67.60,
Cebin - Mirovka,27T-TLI-V422---M,CEPS,Cebin,Mirovka,380,,,,,,,,2055.00,2400.00,2.34,26.61,337.00,88.40,
Cebin - Sokolnice,27T-TLI-V423---H,CEPS,Cebin,Sokolnice,380,,,,,,,2000.00,,,1.04,11.44,154.00,38.30,
Cebin - Slavetice,27T-TLI-V434---6,CEPS,Cebin,Slavetice,380,,,,,,,1968.00,,,1.09,13.92,194.00,50.70,
Chodov - C. Stred,27T-TLI-V415---D,CEPS,Chodov,C. Stred,380,,,,,,,,2265.00,2400.00,0.82,10.50,130.00,35.10,
Chotejovice - Vyskov - V480,27T-TLI-V480---X,CEPS,Chotejovice,Vyskov,380,,,,,,,2000.00,,,0.69,8.03,122.00,28.90,
Chrast - Prestice,27T-TLI-V431---L,CEPS,Chrast,Prestice,380,,,,,,,,2235.00,2400.00,0.80,9.46,122.00,32.60,
Dasny - Slavetice,27T-TLI-V433---B,CEPS,Dasny,Slavetice,380,,,,,,,,2235.00,2800.00,3.46,42.53,575.00,142.70,
H. Zivotice - Krasikov,27T-TLI-V458---B,CEPS,H. Zivotice,Krasikov,380,,,,,,,2000.00,,,2.51,31.34,429.00,107.00,
H. Zivotice - Kletne,27T-TLI-V459---6,CEPS,H.Zivotice,Kletne,380,,,,,,,1968.00,,,0.98,11.79,166.00,42.10,
Hradec - Reporyje,27T-TLI-V412---S,CEPS,Hradec,Reporyje,380,,,,,,,,2010.00,2800.00,3.17,35.10,513.00,116.90,
Hradec - Mirovka,27T-TLI-V420---W,CEPS,Hradec,Mirovka,380,,,,,,,,2010.00,2400.00,5.90,60.38,767.00,209.60,
Hradec - Chrast,27T-TLI-V430---Q,CEPS,Hradec,Chrast,380,,,,,,,,2235.00,2400.00,2.02,24.85,318.00,82.20,
Kletne - Nosovice,27T-TLI-V405---J,CEPS,Kletne,Nosovice,380,,,,,,,1968.00,,,1.20,14.98,210.00,53.50,
Kocin - Dasny - V473,27T-TLI-V473---O,CEPS,Kocin,Dasny,380,,,,,,,,2235.00,2400.00,0.83,10.00,141.00,35.60,
Kocin - Dasny - V474,27T-TLI-V474---J,CEPS,Kocin,Dasny,380,,,,,,,,2265.00,2400.00,0.98,11.87,187.00,42.90,
Kocin - Chodov,27T-TLI-V476---9,CEPS,Kocin,Chodov,380,,,,,,,2265.00,,,2.91,36.14,505.00,129.00,
Krasikov - Prosenice,27T-TLI-V402---Y,CEPS,Krasikov,Prosenice,380,,,,,,,2000.00,,,2.34,26.61,336.00,87.60,
Liskovec - Prosenice - V253,27T-TLI-V253---D,CEPS,Liskovec,Prosenice,220,,,,,,,,655.00,900.00,5.94,27.32,178.30,71.30,
Liskovec - Prosenice - V254,27T-TLI-V254---8,CEPS,Liskovec,Prosenice,220,,,,,,,,655.00,900.00,5.94,27.32,178.30,71.30,
Malesice - C. Stred,27T-TLI-V205---X,CEPS,Malesice,C. Stred,220,,,,,,,,755.00,900.00,1.30,7.27,51.00,19.80,
Milin - Tabor,27T-TLI-V204---1,CEPS,Milin,Tabor,220,,,,,,,,755.00,900.00,3.81,25.85,150.00,59.30,
Milin - C. Stred,27T-TLI-V208---I,CEPS,Milin,C. Stred,220,,,,,,,,650.00,900.00,6.92,34.30,213.30,86.20,
Neznasov - Krasikov,27T-TLI-V453--X5,CEPS,Neznasov,Krasikov,380,,,,,,,2000.00,,,2.40,25.30,297.00,84.10,
Nosovice - Albrechtice,27T-TLI-V460---8,CEPS,Nosovice,Albrechtice,380,,,,,,,2000.00,,,0.48,5.01,58.00,16.50,
Opocinek - C. Stred,27T-TLI-V202---B,CEPS,Opocinek,C. Stred,220,,,,,,,,685.00,900.00,6.10,28.23,177.00,71.30,
Opocinek - Sokolnice,27T-TLI-V203---6,CEPS,Opocinek,Sokolnice,220,,,,,,,,655.00,900.00,11.73,60.17,335.00,135.90,
Otrokovice - Sokolnice,27T-TLI-V417---3,CEPS,Otrokovice,Sokolnice,380,,,,,,,2000.00,,,2.21,22.43,263.00,74.10,
Otrokovice - Prosenice,27T-TLI-V418---Z,CEPS,Otrokovice,Prosenice,380,,,,,,,2000.00,,,1.10,11.20,134.00,37.70,
Prestice - Milin,27T-TLI-V216---M,CEPS,Prestice,Milin,220,,,,,,,,755.00,900.00,4.30,27.40,180.00,63.80,
Prestice - Vitkov,27T-TLI-V221---4,CEPS,Prestice,Vitkov,220,,,,,,,1165.00,,,1.77,23.90,362.00,87.20,
Prestice - Kocin,27T-TLI-V432---G,CEPS,Prestice,Kocin,380,,,,,,,,2235.00,2400.00,2.64,33.01,426.00,115.90,
Prosenice - Sokolnice - V251,27T-TLI-V251---N,CEPS,Prosenice,Sokolnice,220,,,,,,,,685.00,900.00,6.76,35.40,220.00,83.90,
Prosenice - Sokolnice - V252,27T-TLI-V252---I,CEPS,Prosenice,Sokolnice,220,,,,,,,,685.00,900.00,6.76,35.40,220.00,83.90,
Prosenice - Nosovice,27T-TLI-V403---T,CEPS,Prosenice,Nosovice,380,,,,,,,1740.00,,,2.29,23.87,280.00,79.60,
Prosenice - Mirovka,27T-TLI-V416MP-N,CEPS,Prosenice,Mirovka,380,,,,,,,2000.00,,,5.20,56.11,726.00,184.00,
Reporyje - Mirovka,27T-TLI-V413RM-R,CEPS,Reporyje,Mirovka,380,,,,,,,,2010.00,2400.00,4.02,43.28,574.00,145.10,
Reporyje - Chodov,27T-TLI-V414---I,CEPS,Reporyje,Chodov,380,,,,,,,,2265.00,2400.00,0.69,8.21,113.00,29.50,
Reporyje - Kocin,27T-TLI-V475---E,CEPS,Reporyje,Kocin,380,,,,,,,2265.00,,,2.91,37.28,599.00,137.70,
Slavetice - Sokolnice - V435,27T-TLI-V435---1,CEPS,Slavetice,Sokolnice,380,,,,,,,2000.00,,,1.33,15.33,238.00,55.60,
Slavetice - Sokolnice - V436,27T-TLI-V436---X,CEPS,Slavetice,Sokolnice,380,,,,,,,2000.00,,,1.34,15.54,236.00,55.60,
Tabor - Sokolnice,27T-TLI-V207---N,CEPS,Tabor,Sokolnice,220,,,,,,,,755.00,900.00,10.73,72.45,426.00,169.00,
Tynec - Krasikov,27T-TLI-V401---2,CEPS,Tynec,Krasikov,380,,,,,,,1740.00,,,3.12,31.62,417.00,103.80,
Vitkov - Prestice,27T-TLI-V490---R,CEPS,Vitkov,Prestice,380,,,,,,,1600.00,,,1.76,23.90,360.00,86.80,
Vyskov - C. Stred,27T-TLI-V201---G,CEPS,Vyskov,C. Stred,220,,,,,,,,700.00,900.00,6.62,37.14,210.00,85.00,
Chotejovice - Vyskov - V211,27T-TLI-V211---A,CEPS,Vyskov,Chotejovice,220,,,,,,,,755.00,900.00,1.14,9.52,146.00,30.40,
Vyskov - Hradec - V225,27T-TLI-V225---L,CEPS,Vyskov,Hradec,220,,,,,,,,1000.00,1400.00,2.13,9.20,103.00,30.70,
Vyskov - Hradec - V226,27T-TLI-V226---G,CEPS,Vyskov,Hradec,220,,,,,,,,1000.00,1400.00,2.17,9.36,105.00,31.30,
Vyskov - C. Stred - V410,27T-TLI-V410---1,CEPS,Vyskov,C. Stred,380,,,,,,,2400.00,,,1.97,26.30,407.00,95.40,
Vyskov - Hradec,27T-TLI-V411---X,CEPS,Vyskov,Hradec,380,,,,,,,,1965.00,2400.00,1.25,13.09,168.00,45.40,
Vyskov - C. Stred - V419,27T-TLI-V419---U,CEPS,Vyskov,C. Stred,380,,,,,,,2400.00,,,1.97,26.30,407.00,95.40,
Vyskov - Babylon - V428,27T-TLI-V428---T,CEPS,Vyskov,Babylon,380,,,,,,,2445.00,,,1.66,21.46,287.00,72.30,
Vyskov - Babylon - V450,27T-TLI-V450---E,CEPS,Vyskov,Babylon,380,,,,,,,2445.00,,,1.66,21.46,287.00,72.30,
Bertrange - Schifflange West,,Creos,BERTRANGE,SCHIFFLANGE,220,,,,,,,1290.00,,,0.60,3.07,26.08,10.40,Creos doesn’t have EIC codes for internal lines
Bertrange - Schifflange Ost,,Creos,BERTRANGE,SCHIFFLANGE,220,,,,,,,1290.00,,,0.60,3.07,26.08,10.40,Creos doesn’t have EIC codes for internal lines
Blooren - Berchem,,Creos,BLOOREN,BERCHEM,220,,,,,,,1290.00,,,0.36,1.99,222.74,8.60,Creos doesn’t have EIC codes for internal lines
Blooren - Schifflange,,Creos,BLOOREN,SCHIFFLANGE,220,,,,,,,1290.00,,,1.16,6.04,256.98,21.60,Creos doesn’t have EIC codes for internal lines
Heisdorf - Blooren,,Creos,HEISDORF,BLOOREN,220,,,,,,,1290.00,,,0.68,3.61,261.69,13.50,Creos doesn’t have EIC codes for internal lines
Heisdorf - Roost Ost,,Creos,HEISDORF,ROOST,220,,,,,,,1290.00,,,0.78,3.92,33.62,13.40,Creos doesn’t have EIC codes for internal lines
Heisdorf - Roost West,,Creos,HEISDORF,ROOST,220,,,,,,,1290.00,,,0.78,3.96,33.62,13.40,Creos doesn’t have EIC codes for internal lines
Heisdorf - Bertrange Ost,,Creos,HEISDORF,BERTRANGE,220,,,,,,,1290.00,,,0.65,3.28,27.96,11.10,Creos doesn’t have EIC codes for internal lines
Heisdorf - Bertrange West,,Creos,HEISDORF,BERTRANGE,220,,,,,,,1290.00,,,0.65,3.28,27.96,11.10,Creos doesn’t have EIC codes for internal lines
Roost - Flebour West,,Creos,ROOST,FLEBOUR,220,,,,,,,1290.00,,,1.02,5.14,44.27,17.60,Creos doesn’t have EIC codes for internal lines
Roost - Flebour Ost,,Creos,ROOST,FLEBOUR,220,,,,,,,1290.00,,,1.02,5.14,44.27,17.60,Creos doesn’t have EIC codes for internal lines
Schifflange - Berchem,,Creos,SCHIFFLANGE,BERCHEM,220,,,,,,,1290.00,,,1.01,3.93,248.26,12.90,Creos doesn’t have EIC codes for internal lines
Schifflange - Sotel - Oxylux,,Creos,SCHIFFLANGE,OXYLUX,220,,,,,,,1290.00,,,0.28,1.66,179.38,8.70,Creos doesn’t have EIC codes for internal lines
Schifflange - Oxylux,,Creos,SCHIFFLANGE,OXYLUX,220,,,,,,,1290.00,,,0.38,2.16,204.20,8.20,Creos doesn’t have EIC codes for internal lines
Bericevo - Krsko,28T-0000000209-C,ELES,Bericevo,Krsko,380,,,,,,,1920.00,,,2.15,22.95,245.90,80.40,
Bericevo - Krsko,28T-0000000210-Z,ELES,Bericevo,Krsko,380,,,,,,,1920.00,,,2.15,22.95,245.90,80.40,
Bericevo - Klece,28T-0000000195-U,ELES,Bericevo,Klece,220,,,,,,,960.00,,,0.78,5.27,38.00,13.19,
Bericevo - Podlog,28T-0000000208-F,ELES,Bericevo,Podlog,380,,,,,,,1920.00,,,1.53,16.35,177.50,50.10,
Bericevo - Bericevo,,ELES,Bericevo,Bericevo,380,,,,,,,1920.00,,,0.00,0.00,0.00,,Coupler
Cirkovce - Krsko,28T000000000300M,ELES,Cirkovce,Krsko,380,,,,,,,1920.00,,,1.77,18.45,205.26,57.83,
Cirkovce - Cirkovce,,ELES,Cirkovce,Cirkovce,380,,,,,,,1920.00,,,0.00,0.00,0.00,,Coupler
Divaca - Klece,28T-0000000200-2,ELES,Divaca,Klece,220,,,,,,,960.00,,,3.93,27.31,186.00,66.32,
Divaca - Bericevo,28T-0000000205-O,ELES,Divaca,Bericevo,380,,,,,,,1920.00,,,2.33,24.86,269.90,76.17,
Divaca - Divaca,,ELES,Divaca,Divaca,380,,,,,,,2880.00,,,0.00,0.00,0.00,,Coupler
Divaca - Divaca,,ELES,Divaca,Divaca,220,,,,,,,960.00,,,0.00,0.00,0.00,,Coupler
Krsko - Krsko,,ELES,Krsko,Krsko,380,,,,,,,2880.00,,,0.00,0.00,0.00,,Coupler
Maribor - Cirkovce,28T000000000303G,ELES,Maribor,Cirkovce,380,,,,,,,1920.00,,,0.57,5.92,65.83,18.41,
Maribor - Cirkovce,28T000000000302I,ELES,Maribor,Cirkovce,380,,,,,,,1920.00,,,0.57,5.92,65.83,18.41,
Maribor - Maribor,,ELES,Maribor,Maribor,380,,,,,,,1920.00,,,0.00,0.00,0.00,,Coupler
Okroglo - Bericevo,28T-0000000206-L,ELES,Okroglo,Bericevo,380,,,,,,,1600.00,,,0.93,9.89,152.90,31.38,
Okroglo - Bericevo,28T-0000000207-I,ELES,Okroglo,Bericevo,380,,,,,,,1600.00,,,0.93,9.89,152.90,31.38,
Podlog - Cirkovce,28T000000000301K,ELES,Podlog,Cirkovce,380,,,,,,,1920.00,,,1.59,17.12,18.96,53.47,
Podlog - Sostanj,28T-0000000215-K,ELES,Podlog,Sostanj,380,,,,,,,1680.00,,,0.40,4.22,45.88,12.96,
Podlog - Bericevo,28T-0000000196-R,ELES,Podlog,Bericevo,220,,,,,,,960.00,,,3.74,25.86,178.10,63.18,
Podlog - Podlog,,ELES,Podlog,Podlog,220,,,,,,,960.00,,,0.00,0.00,0.00,,Coupler
Sostanj - Sostanj,,ELES,Sostanj,Sostanj,380,,,,,,,9999.00,,,0.00,0.00,0.00,,Coupler
ACHENE – GRAMME 380.10,22T-BE-IN-LI0130,ELIA,ACHENE,GRAMME,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,1999.00,2350.82,1.14,12.10,141.47,36.90,
ACHENE – ACHENE SNCB 380.200,22T20211201A---V,ELIA,ACHENE,ACHENE SNCB,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.01,0.14,0.00,0.05,
Y – MERCATOR (– BRUEGHEL – VERBRANDE BRUG) 380.36,22T-BE-IN-LI006Y,ELIA,Y – BUGGENHOUT 380kV,MERCATOR,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.48,5.08,58.80,15.50,
Y – MERCATOR (– BRUEGHEL – VERBRANDE BRUG) 380.35,22T-BE-IN-LI0-52,ELIA,Y – BUGGENHOUT 380kV,MERCATOR,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,1999.00,2350.82,0.59,5.00,58.60,15.50,
Y – VERBRANDE BRUG (– BRUEGHEL – MERCATOR) 380.36,22T-BE-IN-LI006Y,ELIA,Y – BUGGENHOUT 380kV,VERBRANDE BRUG,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.67,7.12,83.46,21.70,
Y – VERBRANDE BRUG (– BRUEGHEL – MERCATOR) 380.35,22T-BE-IN-LI0-52,ELIA,Y – BUGGENHOUT 380kV,VERBRANDE BRUG,380,2597.28,2458.14,2319.00,2458.14,2597.28,,,1999.00,2350.82,0.66,6.91,83.46,21.70,
Y – LILLO (– DOEL – MERCATOR) 380.51,22T-BE-IN-LI014Z,ELIA,Y – LIEFKENSHOEK 380kV,LILLO,380,3248.00,3074.00,2900.00,3074.00,3248.00,,,,,0.09,0.94,8.06,2.53,
Y – MERCATOR (– DOEL – LILLO) 380.51,22T-BE-IN-LI014Z,ELIA,Y – LIEFKENSHOEK 380kV,MERCATOR,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,0.53,5.58,65.61,17.00,
Y – LILLO (– DOEL – KALLO) 380.52,22T-BE-IN-LI015X,ELIA,Y – LIEFKENSHOEK 380kV,LILLO,380,3248.00,3074.00,2900.00,3074.00,3248.00,,,,,0.09,0.93,7.97,2.42,
Y – RODENHUIZE (– HORTA – MERCATOR) 380.74,22T20161020---3A,ELIA,Y – RODENHUIZE 380kV,RODENHUIZE,380,2601.00,2461.66,2322.32,2461.66,2601.00,,,,,0.01,0.14,0.00,0.20,
Y – RODENHUIZE (– HORTA – MERCATOR) 380.73,22T20161020---2C,ELIA,Y – RODENHUIZE 380kV,RODENHUIZE,380,2601.00,2461.66,2322.32,2461.66,2601.00,,,,,0.02,0.23,0.00,0.32,
ALEGRO CONVERTOR STATION – LIXHE 380.115,22T20200610----Z,ELIA,ALEGRO CONVERTOR STATION,LIXHE,380,1591.00,1591.00,1591.00,1591.00,1591.00,,,,,0.00,0.05,24.53,0.34,
Y – ANDRE DUMONT (– GRAMME – VAN EYCK) 380.12,22T20161020---48,ELIA,ANDRE DUMONT,Y – ZUTTENDAAL 380kV,380,2240.00,2120.00,2000.00,2120.00,2240.00,,,,,0.21,1.98,22.97,6.30,
AUBANGE – BRUME 380.13,22T-BE-IN-LI0211,ELIA,AUBANGE,BRUME,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,3.55,32.88,379.36,104.39,
AUBANGE – HEINSCH 220.507,22T-BE-IN-LI037N,ELIA,AUBANGE,HEINSCH,220,1190.56,1126.78,1063.00,1126.78,1190.56,,,,,1.60,4.41,48.98,15.00,
AUBANGE – ST-MARD 220.516,22T-BE-IN-LI039J,ELIA,AUBANGE,ST-MARD,220,996.80,943.40,890.00,943.40,996.80,,,,,1.62,8.40,59.00,21.10,
AUBANGE – VILLEROUX 220.506,22T-BE-IN-LI035R,ELIA,AUBANGE,VILLEROUX,220,1190.56,1126.78,1063.00,1126.78,1190.56,,,,,4.01,14.16,154.16,47.20,
AUBANGE – BELVAL 220.511,22T201907101---C,ELIA,AUBANGE,BELVAL,220,1036.61,1036.61,1036.61,1036.61,1036.61,,,,,0.88,6.17,42.98,1.00,Line between Aubange (Belgium) and SOTEL (Luxemburg)
Y – AUBANGE (– LATOUR – SAINT-MARD) 220.515,22T-BE-IN-LI038L,ELIA,AUBANGE,Y – LATOUR 220kV,220,996.80,943.40,890.00,943.40,996.80,,,,,1.19,6.17,43.40,15.50,
AVELGEM – HORTA 380.101,22T20161020----I,ELIA,AVELGEM,HORTA,380,4400.00,4260.00,4140.00,4260.00,4400.00,,,,,0.67,12.19,147.37,39.70,
AVELGEM – IZEGEM 380.46,22T-BE-IN-LI043S,ELIA,AVELGEM,IZEGEM,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.71,7.48,87.65,22.80,
AVELGEM – IZEGEM 380.47,22T-BE-IN-LI042U,ELIA,AVELGEM,IZEGEM,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.71,7.48,87.65,22.80,
AVELGEM – HORTA 380.102,22T20161020---1E,ELIA,AVELGEM,HORTA,380,4400.00,4260.00,4140.00,4260.00,4400.00,,,,,0.71,12.16,147.09,39.63,
AWIRS – LE VAL 220.521,22T-BE-IN-LI025U,ELIA,AWIRS,LE VAL,220,1223.04,1157.52,1092.00,1157.52,1223.04,,,,,0.33,2.64,18.65,6.60,
AWIRS – RIMIERE 220.535,22T-BE-IN-LI026S,ELIA,AWIRS,RIMIERE,220,1093.12,1034.56,976.00,1034.56,1093.12,,,,,0.47,3.13,20.06,7.40,
Q1 – BASTOGNE (– MARCOURT – RIMIERE – SENONCHAMPS – VILLEROUX) 220.501,22T-BE-IN-LI033V,ELIA,BASTOGNE,Y – SENONCHAMPS 220kV,220,1190.56,1126.78,1063.00,1126.78,1190.56,,,,,0.13,0.45,4.90,1.50,
BERNEAU – JUPILLE 220.531,22T-BE-IN-LI024W,ELIA,BERNEAU,JUPILLE,220,995.68,942.34,889.00,942.34,995.68,,,,,"0,93","5,60","226,87",17.80,
BERNEAU – LIXHE 220.541,22T-BE-IN-LI023Y,ELIA,BERNEAU,LIXHE,220,995.68,942.34,889.00,942.34,995.68,,,,,0.20,1.15,140.94,6.42,
BRUEGEL – COURCELLES 380.34,22T-BE-IN-LI0025,ELIA,BRUEGEL,COURCELLES,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,1.47,15.51,182.60,47.30,
Y – BRUEGHEL (– MERCATOR – VERBRANDE BRUG) 380.36,22T-BE-IN-LI006Y,ELIA,BRUEGEL,Y – BUGGENHOUT 380kV,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.50,5.25,61.80,15.90,
Y – BRUEGHEL (– MERCATOR – VERBRANDE BRUG) 380.35,22T-BE-IN-LI0-52,ELIA,BRUEGEL,Y – BUGGENHOUT 380kV,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,1999.00,2350.82,0.61,5.11,59.80,15.90,
Y – BRUEGHEL (– COURCELLES – DROGENBOS) 380.33,22T-BE-IN-LI0017,ELIA,BRUEGEL,Y – MEKINGEN 380kV,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,0.45,4.63,54.18,14.00,
BRUME – CENTRALE COO 380.3,22T20180112---2P,ELIA,BRUME,CENTRALE COO,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,0.06,0.66,7.72,2.00,
BRUME – CENTRALE COO 380.4,22T20180112---3N,ELIA,BRUME,CENTRALE COO,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,0.06,0.66,7.72,2.00,
BRUME – GRAMME 380.1,22T-BE-IN-LI007W,ELIA,BRUME,GRAMME,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,1.37,14.53,164.00,44.30,
BRUME – GRAMME 380.2,22T-BE-IN-LI008U,ELIA,BRUME,GRAMME,380,2600.64,2461.32,2322.00,2461.32,2600.64,,,,,1.37,14.53,170.38,44.30,
Y – BRUME (– HOUFFALIZE – VILLEROUX) 220.504,22T-BE-IN-LI034T,ELIA,BRUME,Y – HOUFFALIZE 220kV,220,1393.28,1318.64,1244.00,1318.64,1393.28,,,,,1.62,8.14,96.24,27.50,
BRUME – BRUME SNCB 220.600,22T20211201E---B,ELIA,BRUME,BRUME SNCB,220,1205.12,1140.56,1076.00,1140.56,1205.12,,,,,0.00,0.05,0.00,1.00,
CHAMPION – COURCELLES 380.56,22T-BE-IN-LI0033,ELIA,CHAMPION,COURCELLES,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,1.37,14.46,170.24,44.10,
CHAMPION – GRAMME 380.32,22T-BE-IN-LI0203,ELIA,CHAMPION,GRAMME,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,2186.00,2570.74,1.00,10.56,124.25,32.20,
COURCELLES – GOUY 380.58,22T20180112---5J,ELIA,COURCELLES,GOUY,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.06,0.59,7.00,1.80,
COURCELLES – GOUY 380.57,22T20180112---4L,ELIA,COURCELLES,GOUY,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,0.05,0.56,6.60,1.70,
Y – COURCELLES (– BRUEGHEL – DROGENBOS) 380.33,22T-BE-IN-LI0017,ELIA,COURCELLES,Y – MEKINGEN 380kV,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,,,1.03,10.95,128.20,33.40,
Y – COURCELLES (– GRAMME – SAINT-AMAND) 380.31,22T-BE-IN-LI019P,ELIA,COURCELLES,Y – ST-AMAND 380kV,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,1999.00,2350.82,0.39,4.13,48.64,12.60,
DOEL – ZANDVLIET 380.25,22T-BE-IN-LI02AK,ELIA,DOEL,ZANDVLIET,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,1999.00,2350.82,0.24,2.40,24.00,6.80,
DOEL – MERCATOR 380.54,22T-BE-IN-LI016V,ELIA,DOEL,MERCATOR,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.79,6.83,80.02,22.20,
DOEL – ZANDVLIET 380.26,22T20170512----9,ELIA,DOEL,ZANDVLIET,380,2238.88,2118.94,1999.00,2118.94,2238.88,,,1999.00,2350.82,0.23,2.62,22.24,6.84,
Y – DOEL (– LILLO – MERCATOR) 380.51,22T-BE-IN-LI014Z,ELIA,DOEL,Y – LIEFKENSHOEK 380kV,380,2240.00,2120.00,2000.00,2120.00,2240.00,,,,,0.16,1.72,20.20,5.30,
Y – DOEL (– LILLO – KALLO) 380.52,22T-BE-IN-LI015X,ELIA,DOEL,Y – LIEFKENSHOEK 380kV,380,2240.00,2120.00,2000.00,2120.00,2240.00,,,,,0.16,1.72,20.20,5.30,
DOEL – MERCATOR 380.53,22T20180102----1,ELIA,DOEL,MERCATOR,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.68,7.19,84.29,22.20,
Y – DROGENBOS (– BRUEGHEL – COURCELLES) 380.33,22T-BE-IN-LI0017,ELIA,DROGENBOS,Y – MEKINGEN 380kV,380,2448.32,2317.16,2186.00,2317.16,2448.32,,,,,0.32,3.38,39.61,10.30,
EEKLO NOORD – HORTA 380.103,22T20180102---3U,ELIA,EEKLO NOORD,HORTA,380,5107.20,4833.60,4560.00,4833.60,5107.20,,,,,0.40,4.26,50.27,13.00,
EEKLO NOORD – MAERLANT 380.103,22T20180102---3U,ELIA,EEKLO NOORD,MAERLANT,380,5251.68,4970.34,4689.00,4970.34,5251.68,,,,,0.28,4.07,79.60,17.30,
